"Authors","Author full names","Author(s) ID","Title","Year","Link","Abstract"
"Noviaristanti S.; Acur N.; Mendibil K.; Miranda E.","Noviaristanti, Siska (57887492200); Acur, Nuran (6507778716); Mendibil, Kepa (6506014307); Miranda, Elem (58868670900)","57887492200; 6507778716; 6506014307; 58868670900","The Network Orchestration Role of Accelerators for Value Creation","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184320020&doi=10.1109%2fTEM.2024.3356714&partnerID=40&md5=d30589db9a818982be20855905f3ab0c","Corporate accelerators are becoming increasingly important in introducing innovative methods for companies to generate value. Despite their growing importance, the specifics of their activities in value creation, especially in orchestrating and managing network collaborations for companies and startups, are still poorly understood. This study attempts to fill this knowledge gap by describing a set of orchestration activities that shape the synergy between companies and startups in an accelerator program and correlating these activities with value creation. Empirical evidence was collected through a qualitative case study of a corporate accelerator program. The results show that orchestration activities inherent in the accelerator's network are critical to driving value creation. We identified five such orchestration activities: 1) knowledge mobility and innovation sustainability, which leads to novelty; 2) innovation appropriability and 3) network stability for lock-in, keeping members in the network and increasing relationship quality; 4) innovation coherence as a source of complementarity; and 5) leveraging resources for efficiency. Additionally, our research shows that value for startups begins with expanding their network reach, which encourages the development of new skills, the introduction of novel concepts, and the expansion of existing knowledge. The findings from this study contribute to the theoretical discourse on the importance of network orchestration in the context of corporate accelerators. By integrating orchestration activities into the broader network narrative, we gain insights into the central connecting role of accelerators and their practical relevance.  © 1988-2012 IEEE."
"Sudiarno A.; Dewi R.S.; Widyaningrum R.; Akbar R.A.; Sudianto Y.; Prastyabudi W.A.; Ahmadi","Sudiarno, Adithya (55445134100); Dewi, Ratna Sari (56252649800); Widyaningrum, Retno (58073865500); Akbar, Reza Aulia (57225110076); Sudianto, Yupit (57204647523); Prastyabudi, Wahyu Andy (57188879511); Ahmadi (58891922300)","55445134100; 56252649800; 58073865500; 57225110076; 57204647523; 57188879511; 58891922300","Analysis of Human Performance and Potential Application of Virtual Reality (VR) Shooting Games as a Shooting Training Simulator for Military Personnel","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185332575&doi=10.14716%2fijtech.v15i1.5303&partnerID=40&md5=ccb66d72b9b478cd3d2ca26dc9b962f7","Shooting is one of the essential abilities that military personnel must regularly train. One technology that can be applied to the military shooting sector is the Virtual Reality (VR) shooting game. This technology is a shooting training simulator for Military Personnel. This study compares the shooting performance of military personnel in both real and virtual environments. The researchers analyzed the learning curve of the shooting performance, measured the degree of reality, immersive level, and usability of the VR shooting games, and tested the potential application of the simulator. The result showed that the shooting accuracy and precision in real and virtual shooting conditions do not significantly differ. This means that using a VR shooting game simulator can represent the training conditions in the actual shooting range. The shooting speed in virtual environments is related to the stages of the shooter (position, breath control, aiming, and trigger control), which are influenced by human performance factors (shock, vibration, and gun explosions). In addition, the shooting performance when practicing virtual shooting increased significantly, proving a learning curve for adapting to virtual environments in the simulator. VR shooting games had a total SUS score of 81.1, categorized as Grade A usability or excellent usability. Based on the results of the Pearson correlation test, there is a strong positive relationship between the SUS questionnaire and Presence Questionnaire (0.908), SUS and Immersive Tendencies Questionnaire (0.802), and Presence Questionnaire and Immersive Tendencies Questionnaire (0.814). Good usability in VR shooting games positively influences the degree of reality and can make participants feel a high presence when shooting virtually. Thus, VR shooting games are appropriate to support military shooting training for military personnel. © (2024), (Faculty of Engineering). All Rights Reserved."
"Sani Zulkarnaen A.C.; Gusti Ngurah Rejski Ariantara Putra I.; Reviana N.F.; Hidayah R.; Ibrahim N.; Caecar Pratiwi N.K.; Fuadah Y.N.","Sani Zulkarnaen, Aulia Chusnyriani (58693940300); Gusti Ngurah Rejski Ariantara Putra, I. (58694631800); Reviana, Nada Fauzia (58694113500); Hidayah, Rahmawati (58694113600); Ibrahim, Nur (56572129900); Caecar Pratiwi, Nor Kumalasari (57212309698); Fuadah, Yunendah Nur (56602917600)","58693940300; 58694631800; 58694113500; 58694113600; 56572129900; 57212309698; 56602917600","Application of Convolutional Neural Network Method with MobileNet V1 and ResNet-152 V2 Architecture in Batik Motif Classification","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176608985&doi=10.1007%2f978-3-031-46784-4_6&partnerID=40&md5=007d8d3274393311b399611672dca27d","Indonesia is a country that has diverse natural resources, cultures, and languages. One of the cultural diversities in Indonesia is Batik, which is an Indonesian cultural heritage consisting of cloth drawn by hand using traditional techniques. To assist the public in recognizing various batik motifs, a classification method was developed to identify the types of batik through input images. The classification method uses Convolutional Neural Network (CNN) based on MobileNet V1 and ResNet-152 V2 architecture. This research uses a dataset consisting of 3300 batik images from six different batik motifs, namely ceplok, parang, nitik, megamendung, kawung, and tambal. The optimal classification model was obtained using ResNet-152 V2 architecture with shear pre-processing method and RMSprop optimizer with test accuracy value of 89.67% and validation loss of 0.44. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024."
"Yunita I.; Marieski T.C.","Yunita, Irni (58031616300); Marieski, Tikki Capriati (58773573900)","58031616300; 58773573900","Impact of Equity Market Timing to Equity Issuance and Leverage Change","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180351460&doi=10.1063%2f5.0177805&partnerID=40&md5=628c0c10bca3b64776cd3f5b71b62587","This research try to analyze the impact of one of indicator of market timing that is Hotmarket and Coldmarket, partially and simultaneously to equity issuance and change of leverage. The other variabels including Market to Book ratio, Profitability, Size, Tangibility and lagged leverage to Capital Strucutre. The population of this research is 86 IPO’s companies that is listed in Bursa Efek Indonesia in 6th periods. The methode of this study is Multiple Regression method. This research using non probability sampling that contains 78 companies. The results of this study are equity issuance affected partially by market timing (Hot Year) and simultaneously, independent variables has no significant impact to equity issuance. Otherwise, leverage change had no affected by market timing and simultaneously, other independent variables has significant impact to leverage change. © 2023 American Institute of Physics Inc.. All rights reserved."
"Aurachman R.; Punzo G.","Aurachman, Rio (57203388659); Punzo, Giuliano (16317580100)","57203388659; 16317580100","On the Relation Between Replicator Evolutionary Dynamics and Diffusive Models on General Networks","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187673463&doi=10.1007%2f978-3-031-53499-7_29&partnerID=40&md5=61d908e3dbe4b14687df0a113675d5e2","Understanding how cooperation spreads across social groups is fundamental in predicting how people will interact with each other in relation to the use and exploitation of the resources they are provided with. When social interactions can be mapped to a network, questions arise about the impact of the connection structure which can benefit from the literature developed for a dynamical systems. One model that is widely used as a model to understand the dynamics of cooperation is the replicator equation. While research has been proposed to adapt that equation to a structured graph, we offer a straightforward approach by benefiting from the networked SI diffusion model and replicator equation to create a replicator equation on a network with state-dependent diffusive constant. This approach can be applied to any network structure and features separation of the game and the information diffusion mechanism. The equilibria towards which the system evolves are here characterised and discussed. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024."
"Kusuma P.D.; Kallista M.","Kusuma, Purba Daru (56206181600); Kallista, Meta (56242309600)","56206181600; 56242309600","Migration-Crossover Algorithm: A Swarm-based Metaheuristic Enriched with Crossover Technique and Unbalanced Neighbourhood Search","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184261514&doi=10.22266%2fijies2024.0229.59&partnerID=40&md5=eeb0395564b742af7e15c8c956274cf1","There has been a massive development of metaheuristic algorithms in the latest decade where swarm intelligence becomes the fundamental approach. Meanwhile, there is still no ideal metaheuristic that can solve all problems superiorly, as declared in the no-free-lunch (NFL) theory. This work introduces a novel swarm-based metaheuristic named as migration-crossover algorithm (MCA). In MCA, the swarm intelligence is enriched with the crossover technique and the neighbourhood search with unbalanced local search space. The global finest solution becomes the reference in the first step while the middle between two stochastically chosen solutions becomes the reference in the second step. The neighbourhood search is performed in the third step. The collection of 23 functions become the use case during the evaluation of MCA. In the first evaluation, MCA is compared with five new metaheuristics: total interaction algorithm (TIA), osprey optimization algorithm (OOA), migration algorithm (MA), coati optimization algorithm (COA), and walrus optimization algorithm (WaOA). The result reveals that MCA is finer than TIA, OOA, MA, COA, and WaOA in 20, 19, 17, 20, and 17 functions subsequently. The result of the second evaluation reveals that the global finest solution becomes the dominant contributor in the high dimension functions while the middle between two stochastically chosen solutions becomes the dominant contributor in the fixed dimension functions. © (2024), (Intelligent Network and Systems Society). All Rights Reserved."
"Nugroho H.; Surendro K.","Nugroho, Heru (55868832100); Surendro, Kridanto (6507613469)","55868832100; 6507613469","A Comprehensive Bibliometric Analysis of Missing Value Imputation","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184014384&doi=10.1109%2fACCESS.2024.3357533&partnerID=40&md5=6008f6aaec0bb0cbb6cc4d7268e4e54f","Data quality plays a crucial role in tasks, such as enhancing the accuracy of data analytics and avoiding the accumulation of redundant data. One of the significant challenges in data quality is dealing with missing data, which has been extensively explored by the scholarly community and has resulted in a significant increase in related publications. It is important to recognize that the landscape of missing data in computer science offers numerous opportunities for further research. However, upon closer examination of existing studies, it becomes evident that many have not fully utilized bibliometric analysis tools and software for comprehensive literature reviews. Therefore, this study aims to explore the essential characteristics, trends, and prevailing themes in the field of missing data imputation. Through a thorough bibliometric analysis, this study demonstrated the evolution of knowledge and key focal points in the field of missing data imputation. The analysis consisted of 352 journal papers in computer science published between 2012 and 2023, all centered on missing data imputation. Among these publications, 'IEEE Access' has become a highly respected source. To systematically explore various aspects of missing data imputation, a conceptual framework was used to uncover potential research directions and underlying themes. Ultimately, a thematic map serves as a valuable tool for providing a comprehensive understanding, categorizing significant concepts into basic or overarching, developing, or declining, central, highly developed, and isolated themes. These overarching and underlying themes offer valuable insights and pave the way for prospective directions and critical areas of study.  © 2013 IEEE."
"Anggoro S.; Hia A.K.; Waruwu N.; Winarno A.; Hermana D.","Anggoro, Sigit (58899032600); Hia, Ahmad Kultur (57454172400); Waruwu, Nurdelima (57795011600); Winarno, Alex (57211458185); Hermana, Deni (57211455182)","58899032600; 57454172400; 57795011600; 57211458185; 57211455182","Managing green culture for environmental performance in smart campus transformation","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185685344&doi=10.1080%2f13603124.2024.2312986&partnerID=40&md5=bdf882fe6251359ddd470c4e33d6af07","The evolution of technology and information necessitates changes in the governance of higher education institutions geared more toward sustainability. An approach based on a green culture driven by collegial leadership is imperative. This research aims to present a solution for enhancing environmental performance through effective green culture management in a smart campus facilitated by Distributive Leadership. An explanatory survey was conducted among randomly selected staff, including faculty, totaling 387 participants. A structural model was constructed and examined based on data collected through a questionnaire. The research findings indicate that leaders at various levels still need to fully possess complementary abilities and characteristics that are mutually reinforcing and necessary for ensuring a transition toward a smart campus. The optimization of roles and functions of individuals in this transformative process, as a team directing the formation of a green culture, remains suboptimal. This situation results in the staff’s need for more achievement of environmental performance. In this transformative process, the role of Distributive Leadership is to shape both the green culture and environmental performance. This role embodies the concept of a smart campus that ensures a balance between integrating the Internet of Things and ethical responsibilities toward the environment. © 2024 Informa UK Limited, trading as Taylor & Francis Group."
"Dvaipayana M.A.T.; Sriwana I.K.; Prambudia Y.","Dvaipayana, Made Arya Teguh (57491187700); Sriwana, Iphov Kumala (57196041749); Prambudia, Yudha (55350752000)","57491187700; 57196041749; 55350752000","Design of supply chain risk mitigation system using house of risk and Fuzzy AHP methods in precast concrete","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181870536&doi=10.22441%2fsinergi.2024.1.010&partnerID=40&md5=7d08e0ee91d5b3b3120bfb7913a6338c","Today's global supply chain has many risk factors. These risks include supply disruptions, supply delays, demand fluctuations, price fluctuations, and exchange rate fluctuations. Risks that arise and cannot be mitigated properly in the supply chain can disrupt the company's business processes in various sectors. Companies in the construction sector when working on construction projects face many risks during the project cycle, especially risks in the supply chain process. Partial risk management, namely only on construction projects and not specifically on the supply chain process, causes potential risks in the supply chain process not to be identified in detail, and mitigation strategies cannot be determined effectively for risks in the supply chain. This research was conducted to identify risks and determine appropriate mitigation strategies using the house of risk as a framework and a fuzzy analytical hierarchy process weighting method to select the best mitigation strategy. The research results showed that there were 26 risk events and 21 risk agents identified, and the 5 best mitigation strategies were chosen from the 10 formulated strategies for a mitigation monitoring system. Based on research results, the best risk mitigation strategy can be used as a reference for risk mitigation actions in the company's supply chain as outlined in the form of a dashboard monitoring system. © 2024, Mercu Buana University. All rights reserved."
"Andreswari R.; Syahputra I.","Andreswari, Rachmadita (57205063400); Syahputra, Ismail (57208719371)","57205063400; 57208719371","Fairness Analysis in the Assessment of Several Online Parallel Classes using Process Mining","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179368234&doi=10.37917%2fijeee.19.2.4&partnerID=40&md5=59858b4d251b078fc667ee63b1c3340d","The learning process in online lectures through the Learning Management System (LMS) will produce a learning flow according to the event log. Assessment in a group of parallel classes is expected to produce the same assessment point of view based on the semester lesson plan. However, it does not rule out the implementation of each class to produce unequal fairness. Some of the factors considered to influence the assessment in the classroom include the flow of learning, different lecturers, class composition, time and type of assessment, and student attendance. The implementation of process mining in fairness assessment is used to determine the extent to which the learning flow plays a role in the assessment of ten parallel classes, including international classes. Moreover, a decision tree algorithm will also be applied to determine the root cause of the student assessment analysis based on the causal factors. As a result, there are three variables that have effects on student graduation and assessment, i.e attendance, class and gender. Variable lecturer does not have much impact on the assessment, but has an influence on the learning flow. © 2023 The Authors."
"Kusuma P.D.; Kallista M.","Kusuma, Purba Daru (56206181600); Kallista, Meta (56242309600)","56206181600; 56242309600","Swarm Space Hopping Algorithm: A Swarm-based Stochastic Optimizer Enriched with Half Space Hopping Search","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188191913&doi=10.22266%2fijies2024.0430.54&partnerID=40&md5=3bb42a7618c1d330714493ecac281144","Many recent swarm-based metaheuristics are trapped in the exploitation of the highest quality as the main or the only reference and the neighbourhood search with the reduction of local search space during the iteration. Regarding to this issue, this paper introduces a novel metaheuristic called swarm space hopping algorithm (SSHA). SSHA consists of three searches. First, a directed search toward the highest quality is performed. Second, the directed search toward the resultant of better agents or away from the other agent is performed. Third, the arithmetic crossover between the agent and a randomized solution in the first half or second half of space is performed. In this work, three evaluations are performed to assess the performance of SSHA. The first evaluation is the benchmark evaluation to compare the performance of SSHA with other recent metaheuristics: northern goshawk optimization (NGO), zebra optimization algorithm (ZOA), clouded leopard optimization (CLO), osprey optimization algorithm (OOA), and total interaction algorithm (TIA). The result exhibits that SSHA is better than NGO, ZOA, CLO, OOA, and TIA in 21, 20, 17, 17, and 21 functions. In the second evaluation, the individual search evaluation to compare the contribution between the first and second searches is performed, with the result that the second search outperforms the first search. The third evaluation is performed to assess the contribution of the third search in the optimization process, and the result shows that the contribution of the third search is significant only in three functions. © (2024), (Intelligent Network and Systems Society). All Rights Reserved."
"Andreswari R.; Millenia F.; Rizky J.; Haniyah S.; Mufti S.","Andreswari, Rachmadita (57205063400); Millenia, Frista (58756839500); Rizky, Juan (58756625800); Haniyah, Salma (58755783900); Mufti, Shofian (58756625900)","57205063400; 58756839500; 58756625800; 58755783900; 58756625900","Analysis Study for Rabobank Group ICT Incident by using Fuzzy and Heuristic Miner in Process Mining","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179367547&doi=10.37917%2fijeee.19.2.5&partnerID=40&md5=a90e086e794fcb62d1de7781c4d99cd8","The decline in the marketing volume of Rabobank Group ICT is a serious incident as it can hinder the implementation of an increasing number of software releases for business development. The Service Desk Agent records the activities that occur to find out the problems experienced in the form of an event log. Process mining can be used to generate process model visualizations based on event logs to explicitly monitor the business. Fuzzy Miner and Heuristic Miner algorithms can be used to handle complex event logs. In this study, an analysis of the Rabobank Group ICT incident was carried out with process mining using the Fuzzy Miner and Heuristic Miner algorithms. Process mining is done by discovery, conformance, and enhancement. Based on the results of the study, it is known that the division of the work area is not good enough to cause a team to work on a lot of events while there are other teams that only work on one event. Therefore, it is necessary to have a clear and balanced division of domains and workloads so that incidents do not recur. © 2023 The Authors."
"Melinda M.; Arnia F.; Yafi A.; Andryani N.A.C.; Enriko I.K.A.","Melinda, Melinda (53264423700); Arnia, Fitri (14027791000); Yafi, Al (58201986100); Andryani, Nur Afny Catur (35174188700); Enriko, I Ketut A. (57164890600)","53264423700; 14027791000; 58201986100; 35174188700; 57164890600","Design and Implementation of Mobile Application for CNN-Based EEG Identification of Autism Spectrum Disorder","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185942816&doi=10.18517%2fijaseit.14.1.19676&partnerID=40&md5=95b79ee24a7249d502d26b70d15771ba","Autism spectrum disorder (ASD) is a disorder of the nervous system from birth and during infancy. This disorder affects children's development, making it difficult for nerve function to develop, and causes the child concerned to have difficulty in fostering social relationships. Early detection of children with ASD is needed so that treatment is fast and on target. Currently, facilities and research on early diagnosis of ASD patients through EEG signals are still very few, requiring much cost and more effort to analyze EEG signals in examinations related to ASD detection cases. This study proposes a mobile phone application that can distinguish people living with ASD and normal data signals based on asynchronous EEG brain signals. This research also produces a preprocessing algorithm and BCI2000 EEG data signal so that it can be automated using Python. This research also produces an output model, namely the Deep Learning Convolutional Neural Network, which is deployed using Python-Flask so that the diagnosis of EEG signals with ASD and normal patients can be used on various platforms through restAPI. This research is also expected to help the community and support the diagnosis of ASD sufferers so that they can be handled appropriately. Data for ASD sufferers and normal data were correctly classified into the appropriate class. Handling this disease requires close and integrated cooperation, so this ASD classification will be very helpful for patients and can make a diagnosis in a faster time, enabling patients to receive targeted treatment and therapy. © IJASEIT is licensed under a Creative Commons Attribution-Share Alike 4.0 International License."
"Hapsari G.I.; Erfianto B.; Munadi R.; Irawati I.D.","Hapsari, Gita Indah (56330094100); Erfianto, Bayu (24723949000); Munadi, Rendy (35810906800); Irawati, Indrarini Dyah (56669673500)","56330094100; 24723949000; 35810906800; 56669673500","Research Trend Topic Area on Mobile Anchor Localization: A Systematic Mapping Study","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176943535&doi=10.32985%2fijeces.14.9.1&partnerID=40&md5=6f4078ea1f1d703dcb4657fabd271839","– Localization in a dynamic environment is one of the challenges in WSN localization involving dynamic sensor nodes or anchor nodes. Mobile anchors can be an efficient solution for the number of anchors in a 3-dimensional environment requiring more local anchors. The reliability of a localization system using mobile anchors is determined by various parameters such as energy efficiency, coverage, computational complexity, and cost. Various methods have been proposed by researchers to build a reliable mobile anchor localization system. This certainly shows the many research opportunities that can be carried out in mobile anchor localization. The many opportunities in this topic will be very confusing for researchers who want to research in this field in choosing a topic area early. However, until now there is still no paper that discusses systematic mapping studies that can provide information on topic areas and trends in the field of mobile anchor localization. A systematic Mapping Study (SMS) was conducted to determine the topic area and its trends, influential authors, and produce modeling topics and trends from the resulting modeling topics. This SMS can be a solution for researchers who are interested in research in the field of mobile anchor localization in determining the research topics they are interested in for further research. This paper gives information on the mobile anchor research area, the author who has influenced mobile anchor localization research, and the topic modeling and trend that potentially promissing research in the future. The SMS includes a chronology of publications from 2017-2022, bibliometric co-occurrence, co-author analysis, topic modeling, and trends. The results show that the development of mobile anchor localization publications is still developing until 2022. There are 10 topic models with 6 of them included in the promising topic. The results of this SMS can be used as preliminary research from the literacy stage, namely Systematic Literature Review (SLR). © 2023, J.J. Strossmayer University of Osijek, Faculty of Electrical Engineering, Computer Science and Information Technology. All rights reserved."
"Hamami F.","Hamami, Faqih (57208572883)","57208572883","Garbage classification using convolutional neural network based transfer learning","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178040588&doi=10.1063%2f5.0128946&partnerID=40&md5=3b54c04fa3833f30bca86fbfe6214041","Nowadays people's activities produce large and various kinds of garbage. Many people do not realize that garbage can be a source of disease, environmental pollution and other negative things. Most people still often throw garbage carelessly. The local government has placed garbage bins in public spaces but people sometimes still throw out the garbage that doesnot fit the type. Disposing of garbage in the same place is considered to be difficult for garbage menagement because each type of garbage has a different time to decompose. It is necessary to classify garbage based on its basic ingredients so that garbage management becomes better and easier. Organic garbage can be used for fertilizer while non-organic garbage can be recycled. This research proposes to build a classifier that is able to distinguish the types of garbage. Transfer learning approach based on Convolutional Neural Network architecture is implemented in this research. Two pre-trained models are implemented-VGG16 and MobileNet, to train thousands of images from 12 types of garbage which are Battery, Biological, Brown-Glass, Cardboard, Clothes, Green-Glass, Metal, Paper, Plastic, Shoes, Trash and White-Glass. Based on the experimental results, the accuracy of the VGG16 architecture reaches 86% and the accuracy of the MobileNet architecture reaches 85%. © 2023 Author(s)."
"Rizkita M.Z.; Sitorus P.M.; Khairunnisa; Alamsyah A.; Abdurohman M.","Rizkita, Mutiara Zallya (58612575400); Sitorus, Palti Marulitua (57192064396); Khairunnisa (58344841400); Alamsyah, Andry (55932829400); Abdurohman, Maman (18133646400)","58612575400; 57192064396; 58344841400; 55932829400; 18133646400","FEASIBILITY STUDY AND THE DEVELOPMENT OF MSME BUSINESS INCUBATOR MOCKUP IN TOBA DISTRICT; [ESTUDO DE VIABILIDADE E O DESENVOLVIMENTO DE MSME INCUBADORA MOCKUP NO DISTRITO DE TOBA]","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171828992&doi=10.55908%2fsdgs.v11i6.775&partnerID=40&md5=7b1ed789d812c99f3304b80ee7ec44ee","Theoretical Framework: Toba Regency is one of the regions in North Sumatra that has considerable MSME potential. However, there are still many MSMEs that experience difficulties in developing their business due to constraints in capital, infrastructure, and market access. Therefore, it is necessary to have an MSME business incubator that can help develop the business of MSME players. However, before building an MSME business incubator, it is necessary to conduct a feasibility study. Purposes: This aims to objectively evaluate the potential success of the business incubator development project. This research aims to conduct a feasibility study and the construction of an MSME business incubator mockup in Toba Regency by looking at financial, technical, social, and environmental aspects. Method: This research uses a qualitative descriptive method with a feasibility study approach and mockup design. Data were collected through literature studies, interviews with relevant stakeholders, and direct observation of the conditions and needs of MSMEs in Toba Regency. Results: The results showed that the development of MSME business incubators in Toba Regency has great potential and good investment feasibility. In the feasibility study, it was found that MSME business incubators can provide benefits to MSME actors in terms of facilities, training, and market access. Meanwhile, in the financial analysis, it was found that the MSME business incubator development project can generate considerable profits with a payback period of around 5 years. The proposed MSME business incubator mockup design also meets the needs of MSME business development by being equipped with adequate facilities and effective marketing strategies. © 2023, FACMED - Faculty of Medical and Juridical Sciences. All rights reserved."
"Nuraeni L.; Chumaidiyah E.","Nuraeni, Leni (58698049900); Chumaidiyah, Endang (55845070000)","58698049900; 55845070000","Design of conceptual models for comparison analysis between conventional methods and MCP methods based on productivity and logistic performance in cooperative X","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176961880&doi=10.1063%2f5.0106355&partnerID=40&md5=fc61a69b4860f700c8fc447409e89e55","The effort of the Cooperative X in improving the quality of milk at this time is by collaborating with Frisian Flag by building a technology-based Cooperative Collecting Point (TPK MCP). Not all TPK in Cooperative X became TPK MCP. There are differences between the TPK non-MCP and the TPK MCP, starting from the system for determining the price of milk and the business process there are gaps. In addition, there are still complaints from MPI to the cooperatives, it is necessary to analyze the logistics performance of the two TPK. Production, Cooperative still cannot meet the demand for milk from MPI. From these problems, it is necessary to analyze the non-MCP and MCP TPK based on Productivity, Logistic Performance and Milk Supply Business Processes. In order to make it easier to analyze, it is necessary to formulate a conceptual model. The design of this model is carried out by a method, namely by identifying the problem, reviewing literature, analyzing and compiling the model. However, in this research, analysis of the milk supply business process has not been carried out, so further research is still needed so that all problems in Cooperative can be resolved. © 2023 American Institute of Physics Inc.. All rights reserved."
"Khair M.R.; Aryani S.; Idawicaksakti M.D.","Khair, Muhammad Rafiendra (58726367900); Aryani, Sinta (57205329585); Idawicaksakti, Maria Dellarosawati (58725399400)","58726367900; 57205329585; 58725399400","A business model design of CV. Kayakayu Jepara using business model canvas with qualitative judgment","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178053939&doi=10.1063%2f5.0175149&partnerID=40&md5=b31dbe2b1c937a5e949b5e556258e247","CV. Kayakayu Jepara is a company engaged in the bioenergy industry in terms of providing fuel for large industries and people who are small traders. The consumer segment of CV. Kayakayu Jepara, namely all industries or SMEs that have something to do with the use of briquettes or charcoal in their industry or business, for example, large companies that require briquette fuel to run their production equipment or small traders who use briquettes or charcoal to fuel their food business. Therefore the market segment of CV. Kayakayu Jepara also has the potential to expand more widely. Making a business model canvas is done by making a map of 9 building blocks, this can help CV. Kayakayu Jepara to improve competitiveness and coupled with the included SWOT analysis to support the making of this business model so that CV. Kayakayu Jepara can find out how to overcome their weaknesses. To create the mapping of SWOT, qualitative judgment was used. This qualitative judgment that made this business model research was different from the other business model canvas. In addition to SWOT analysis, the aspects needed to develop a business model canvas are customer profiles obtained from customer opinions of the company and also environmental analysis that examines external factors and the business environment of CV. Kayakayu Jepara company. From the results of research that has been conducted on the company CV. Kayakayu Jepara, the results obtained in the form of a proposed business model from CV. Kayakayu Jepara proposed by researchers. © 2023 Author(s)."
"Sriwana I.K.; Suryadhini P.P.; Tripiawan W.; Khapso U.E.","Sriwana, Iphov Kumala (57196041749); Suryadhini, Pratya Poeri (57209476747); Tripiawan, Wawan (57200113575); Khapso, Ulfa Eka (58725824800)","57196041749; 57209476747; 57200113575; 58725824800","Design of post-Covid 19 sustainability of coffee agroindustry supply chain in Indonesia","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178019865&doi=10.1063%2f5.0119126&partnerID=40&md5=8fcfff23f4a5983a3a31bfe2dfee8995","Coffee is one of essential plantation commodities in Indonesia. Sustainability of coffee agroindustry must be continuously improved because the plantation sub-sector can contributeto a relatively high GDP. Covid-19 pandemic has given a very significant impact on coffee agroindustry supply chain, including a spike in price declines and a 2.2% decrease in coffee production as compared to the previous year. The research was conducted with the aim of measuring sustainability of the coffee agroindustry supply chain in terms of an economic dimension and providing some improvement recommendations to increase the sustainability. A Multi Dimensional Scaling (MDS) and Forecasting method were employed. Results indicated that the coffee agroindustry supply chain, in terms of an economic dimension, was not sustainable (39%) and a critical attribute affecting it was price stability. Recommendations given to improve the sustainability of coffee agroindustry include implementation of GAP and GMP to increase productivity of coffee plantations, and thus resulting in improved sustainability and being able to provide a positive response to consumers in meeting demands for coffee beans. © 2023 Author(s)."
"Alfian G.; Octava M.Q.H.; Hilmy F.M.; Nurhaliza R.A.; Saputra Y.M.; Putri D.G.P.; Syahrian F.; Fitriyani N.L.; Atmaji F.T.D.; Farooq U.; Nguyen D.T.; Syafrudin M.","Alfian, Ganjar (56033523800); Octava, Muhammad Qois Huzyan (58157666700); Hilmy, Farhan Mufti (58666920000); Nurhaliza, Rachma Aurya (58667843600); Saputra, Yuris Mulya (57191610119); Putri, Divi Galih Prasetyo (57193577352); Syahrian, Firma (58666920100); Fitriyani, Norma Latif (57193067573); Atmaji, Fransiskus Tatas Dwi (57164802100); Farooq, Umar (57669141200); Nguyen, Dat Tien (58713973000); Syafrudin, Muhammad (57197741727)","56033523800; 58157666700; 58666920000; 58667843600; 57191610119; 57193577352; 58666920100; 57193067573; 57164802100; 57669141200; 58713973000; 57197741727","Customer Shopping Behavior Analysis Using RFID and Machine Learning Models","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175031991&doi=10.3390%2finfo14100551&partnerID=40&md5=aadc3e60dd4425a3a75d022dcaa151e0","Analyzing customer shopping habits in physical stores is crucial for enhancing the retailer–customer relationship and increasing business revenue. However, it can be challenging to gather data on customer browsing activities in physical stores as compared to online stores. This study suggests using RFID technology on store shelves and machine learning models to analyze customer browsing activity in retail stores. The study uses RFID tags to track product movement and collects data on customer behavior using receive signal strength (RSS) of the tags. The time-domain features were then extracted from RSS data and machine learning models were utilized to classify different customer shopping activities. We proposed integration of iForest Outlier Detection, ADASYN data balancing and Multilayer Perceptron (MLP). The results indicate that the proposed model performed better than other supervised learning models, with improvements of up to 97.778% in accuracy, 98.008% in precision, 98.333% in specificity, 98.333% in recall, and 97.750% in the f1-score. Finally, we showcased the integration of this trained model into a web-based application. This result can assist managers in understanding customer preferences and aid in product placement, promotions, and customer recommendations. © 2023 by the authors."
